niche,keyword,region,timeframe,score,sources,seeds,source,score_norm
ciberseguridad,gunra ransomware,es,today 3-m,4125.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.2035301007085091
ciberseguridad,siem stands for,es,today 3-m,2650.0,gtrends_rising,siem,gtrends_rising,-0.2528677010604953
ciberseguridad,spoofing vs phishing,es,today 3-m,2300.0,gtrends_rising,phishing,gtrends_rising,-0.2645749282626615
ciberseguridad,owasp top 10 2021,es,today 3-m,150.0,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,-0.3364907525045396
ciberseguridad,siem meaning,es,today 3-m,102.5,"gtrends_rising,gtrends_top",siem,gtrends_rising,-0.33807959048197644
ciberseguridad,owasp top 10 llm,es,today 3-m,94.5,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,-0.3383471842465974
ciberseguridad,hardening windows,es,today 3-m,54.5,"gtrends_rising,gtrends_top",hardening,gtrends_rising,-0.3396851530697021
ciberseguridad,ransomware definicion,es,today 3-m,47.5,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.3399192976137454
ciberseguridad,qué es el ransomware,es,today 3-m,47.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.33993602222403424
ciberseguridad,que significa phishing,es,today 3-m,38.5,"gtrends_rising,gtrends_top",phishing,gtrends_rising,-0.34022034059894396
ciberseguridad,crowdstrike siem,es,today 3-m,32.5,"gtrends_rising,gtrends_top",siem,gtrends_rising,-0.3404210359224097
ciberseguridad,phishing email,es,today 3-m,26.0,gtrends_top,phishing,gtrends_top,-0.4313063470723117
ciberseguridad,correo phishing,es,today 3-m,25.0,gtrends_top,phishing,gtrends_top,-0.46437920771966334
ciberseguridad,spear phishing,es,today 3-m,20.0,gtrends_top,phishing,gtrends_top,-0.6297435109564216
ciberseguridad,virus ransomware,es,today 3-m,20.0,gtrends_top,ransomware,gtrends_top,-0.6297435109564216
ciberseguridad,phishing,es,today 3-m,16.0,gtrends_top,ransomware,gtrends_top,-0.7620349535458281
ciberseguridad,ransomware attack,es,today 3-m,15.0,gtrends_top,ransomware,gtrends_top,-0.7951078141931797
ciberseguridad,qué es phishing,es,today 3-m,13.0,gtrends_top,phishing,gtrends_top,-0.861253535487883
ciberseguridad,ataque phishing,es,today 3-m,12.0,gtrends_top,phishing,gtrends_top,-0.8943263961352346
ciberseguridad,ransomware wannacry,es,today 3-m,12.0,gtrends_top,ransomware,gtrends_top,-0.8943263961352346
ciberseguridad,tipos de phishing,es,today 3-m,11.0,gtrends_top,phishing,gtrends_top,-0.9273992567825863
ciberseguridad,phishing definicion,es,today 3-m,10.0,gtrends_top,phishing,gtrends_top,-0.9604721174299379
ciberseguridad,ransomware,es,today 3-m,10.0,gtrends_top,phishing,gtrends_top,-0.9604721174299379
ciberseguridad,phishing significado,es,today 3-m,9.0,gtrends_top,phishing,gtrends_top,-0.9935449780772895
ciberseguridad,qué es el phishing,es,today 3-m,9.0,gtrends_top,phishing,gtrends_top,-0.9935449780772895
ciberseguridad,denunciar phishing,es,today 3-m,8.0,gtrends_top,phishing,gtrends_top,-1.0266178387246412
ciberseguridad,phishing bbva,es,today 3-m,8.0,gtrends_top,phishing,gtrends_top,-1.0266178387246412
ciberseguridad,siem wazuh,es,today 3-m,8.0,gtrends_top,siem,gtrends_top,-1.0266178387246412
ciberseguridad,como evitar el phishing,es,today 3-m,7.0,gtrends_top,phishing,gtrends_top,-1.0596906993719928
ciberseguridad,siem riep,es,today 3-m,7.0,gtrends_top,siem,gtrends_top,-1.0596906993719928
ciberseguridad,what is phishing,es,today 3-m,7.0,gtrends_top,phishing,gtrends_top,-1.0596906993719928
ciberseguridad,siem park,es,today 3-m,6.0,gtrends_top,siem,gtrends_top,-1.0927635600193444
ciberseguridad,google siem,es,today 3-m,5.0,gtrends_top,siem,gtrends_top,-1.125836420666696
ciberseguridad,strain hardening,es,today 3-m,1.0,gtrends_top,hardening,gtrends_top,-1.2581278632561026
ciberseguridad,definición de phishing,mx,today 3-m,41000.0,gtrends_rising,phishing,gtrends_rising,0.13026685811530614
ciberseguridad,owasp top 10 mobile,mx,today 3-m,23976.5,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,0.03466524327157022
ciberseguridad,como evitar el phishing,mx,today 3-m,202.5,"gtrends_rising,gtrends_top",phishing,gtrends_rising,-0.09884624327907905
ciberseguridad,owasp top 10 api,mx,today 3-m,85.0,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,-0.09950610698185104
ciberseguridad,phishing definicion,mx,today 3-m,68.0,"gtrends_rising,gtrends_top",phishing,gtrends_rising,-0.09960157662395422
ciberseguridad,spear phishing,mx,today 3-m,51.5,"gtrends_rising,gtrends_top",phishing,gtrends_rising,-0.0996942383354073
ciberseguridad,qué es el ransomware,mx,today 3-m,46.5,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.09972231764190824
ciberseguridad,virus phishing,mx,today 3-m,45.0,"gtrends_rising,gtrends_top",phishing,gtrends_rising,-0.09973074143385853
ciberseguridad,phishing,mx,today 3-m,41.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.09975320487905927
ciberseguridad,qué es ransomware,mx,today 3-m,38.5,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.09976724453230974
ciberseguridad,ataque ransomware,mx,today 3-m,33.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.09979813176946077
ciberseguridad,ransomware,mx,today 3-m,32.0,"gtrends_rising,gtrends_top",phishing,gtrends_rising,-0.09980374763076096
ciberseguridad,ransomware significado,mx,today 3-m,29.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.09982059521466152
ciberseguridad,cis hardening,mx,today 3-m,27.5,"gtrends_rising,gtrends_top",hardening,gtrends_rising,-0.0998290190066118
ciberseguridad,siem ciberseguridad,mx,today 3-m,20.0,gtrends_top,siem,gtrends_top,-0.5276527197129595
ciberseguridad,virus ransomware,mx,today 3-m,18.0,gtrends_top,ransomware,gtrends_top,-0.5940468800082872
ciberseguridad,correo phishing,mx,today 3-m,16.0,gtrends_top,phishing,gtrends_top,-0.660441040303615
ciberseguridad,google siem,mx,today 3-m,15.0,gtrends_top,siem,gtrends_top,-0.6936381204512788
ciberseguridad,qué es phishing,mx,today 3-m,14.0,gtrends_top,phishing,gtrends_top,-0.7268352005989427
ciberseguridad,ataque phishing,mx,today 3-m,11.0,gtrends_top,phishing,gtrends_top,-0.8264264410419343
ciberseguridad,qué es el phishing,mx,today 3-m,11.0,gtrends_top,phishing,gtrends_top,-0.8264264410419343
ciberseguridad,phishing en español,mx,today 3-m,7.0,gtrends_top,phishing,gtrends_top,-0.9592147616325898
ciberseguridad,ransomware attack,mx,today 3-m,7.0,gtrends_top,ransomware,gtrends_top,-0.9592147616325898
ciberseguridad,tipos de phishing,mx,today 3-m,7.0,gtrends_top,phishing,gtrends_top,-0.9592147616325898
ciberseguridad,phishing email,mx,today 3-m,6.0,gtrends_top,phishing,gtrends_top,-0.9924118417802537
ciberseguridad,que significa phishing,mx,today 3-m,6.0,gtrends_top,phishing,gtrends_top,-0.9924118417802537
ciberseguridad,ransomware características,mx,today 3-m,5.0,gtrends_top,ransomware,gtrends_top,-1.0256089219279174
ciberseguridad,hardening de servidores,mx,today 3-m,1.0,gtrends_top,hardening,gtrends_top,-1.158397242518573
ciberseguridad,pentesting tools,us,today 3-m,100.0,gtrends_top,pentesting,gtrends_top,2.130953782468822
ciberseguridad,phishing email,us,today 3-m,100.0,gtrends_top,phishing,gtrends_top,2.130953782468822
ciberseguridad,ransomware attack,us,today 3-m,100.0,gtrends_top,ransomware,gtrends_top,2.130953782468822
ciberseguridad,what is hardening,us,today 3-m,100.0,gtrends_top,hardening,gtrends_top,2.130953782468822
ciberseguridad,what is owasp,us,today 3-m,100.0,gtrends_top,owasp top 10,gtrends_top,2.130953782468822
ciberseguridad,what is owasp top 10,us,today 3-m,91.0,gtrends_top,owasp top 10,gtrends_top,1.8235044922049843
ciberseguridad,what is pentesting,us,today 3-m,90.0,gtrends_top,pentesting,gtrends_top,1.7893434599534468
ciberseguridad,what is ransomware,us,today 3-m,85.0,gtrends_top,ransomware,gtrends_top,1.6185382986957593
ciberseguridad,owasp top 10 api,us,today 3-m,77.0,gtrends_top,owasp top 10,gtrends_top,1.345250040683459
ciberseguridad,top pentesting companies,us,today 3-m,57331.5,"gtrends_rising,gtrends_top",pentesting,gtrends_rising,1.0644080714228634
ciberseguridad,nevada ransomware attack,us,today 3-m,53350.0,gtrends_rising,ransomware,gtrends_rising,0.9827223510279742
ciberseguridad,what is siem,us,today 3-m,64.0,gtrends_top,siem,gtrends_top,0.9011566214134715
ciberseguridad,siem security,us,today 3-m,58.0,gtrends_top,siem,gtrends_top,0.6961904279042465
ciberseguridad,hardening of arteries,us,today 3-m,57.0,gtrends_top,hardening,gtrends_top,0.662029395652709
ciberseguridad,owasp top 10 web,us,today 3-m,54.0,gtrends_top,owasp top 10,gtrends_top,0.5595462988980965
ciberseguridad,hardening of the arteries,us,today 3-m,53.0,gtrends_top,hardening,gtrends_top,0.5253852666465589
ciberseguridad,owasp top 10 2018,us,today 3-m,28052.5,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,0.46371079465733234
ciberseguridad,what is phishing,us,today 3-m,50.5,gtrends_top,"phishing,ransomware",gtrends_top,0.4399826860177152
ciberseguridad,best laptop for pentesting,us,today 3-m,22252.5,"gtrends_rising,gtrends_top",pentesting,gtrends_rising,0.3447161498525207
ciberseguridad,non hardening modeling clay,us,today 3-m,19450.0,gtrends_rising,hardening,gtrends_rising,0.28721916846191986
ciberseguridad,ransomware attacks,us,today 3-m,46.0,gtrends_top,ransomware,gtrends_top,0.28625804088579637
ciberseguridad,report phishing,us,today 3-m,45.0,gtrends_top,phishing,gtrends_top,0.2520970086342589
