videoId,title,region,niche,content_type,views,likes,comments,engagement_rate,seconds,publishedAt,categoryTitle,tags,source
o_n_f70Y1Pc,MAQUILLAJE NATURAL VIRAL ! #maquillaje #makeup #belleza,GL,belleza,Shorts,13218,1126,12,0.0860947193221364,46.0,2025-03-12T23:33:09Z,,,yt_search
XvNfyF0ALzE,Tutorial maquillaje natural sin base y rapido de hacer con productos de Mely - Maquillaje de once,GL,belleza,Shorts,11585,533,5,0.0464393612429866,27.0,2024-06-27T21:15:01Z,,,yt_search
ZEtnCdeylBM,Makeup natural bonito en 5 minutos 💖🌸✨,GL,belleza,Shorts,10918,516,12,0.0483605055871038,59.0,2025-06-26T19:14:27Z,,,yt_search
GP-EWh7Qnuo,Viaje por el universo con imágenes reales 4K | Documental Completo,GL,ciencia,Video,13063999,97804,3057,0.0077205302909162,5787.0,2022-09-02T23:00:12Z,,,yt_search
aysZXuno4uc,Los Astronautas NO FLOTAN en el Espacio: CAEN,GL,ciencia,Shorts,12818520,828025,9191,0.0653130002527593,56.0,2024-02-02T17:24:41Z,,,yt_search
u-pK7DJDGmg,¡IMÁGENES que te HARÁN sentir INSIGNIFICANTE! #universo #espacio #shorts,GL,ciencia,Shorts,11501682,547946,2360,0.0478456976988235,59.0,2024-09-05T20:00:17Z,,"dankev,datos impresionantes,el fedelobo,espacio,galaxias,google earth,interesante,lomito dankev,luna,marte,planeta,planeta tierra,planetas,popular,que tan pequeño somos,short,shorts,sorprendente,sorprendentemente,tendencia,tendencias,top 10,top 4,top 5,topman,tops,toxomoroxo,universe,universo,wow,xpresstv,youtube,youtube shorts",yt_search
3rkICz4DNs4,¿Cuánto Sabes de ASTRONOMÍA? 🚀🌌🤔| Test de Conocimientos - Edición Espacial 🧑‍🚀| Quiz Astronomía,GL,ciencia,Video,11370504,50755,2976,0.0047254721514543,670.0,2024-02-10T20:35:23Z,,"35 preguntas de astronomia,35 preguntas de astronomía,agujeros negros,aprendizaje espacial,astronomía básica,astronomía para familias,ciencia para niños,cuanto sabes del espacio,cuanto sabes del universo,curiosidades del universo,educación divertida,exploración espacial,fenómenos cósmicos,juegos de trivia,misterios del cosmos,planetas y estrellas,sistema solar,test del espacio,trivia de astronomia,trivia de astronomía,trivia espacial,viaje espacial",yt_search
QylcH69Lw0w,Las 20 mentiras de astronomía y ciencia que aún crees...,GL,ciencia,Video,8135485,149950,10474,0.0197190456377216,870.0,2021-03-29T19:31:00Z,,"20,20 cosas,20 lies,20 mentiras de astronomía y ciencia,apolo,apolo 11,astronomiaweb,astronomy,astronomía,ciencia,crees,creyendo,documental ciencia,evolucionamos del mono,evolución,gravedad,mentiras,pirámides de egipto,science,viaje a la luna",yt_search
QyVxdbrJDqA,El Sol Podría Cambiar de Galaxia,GL,ciencia,Shorts,7921196,468636,6192,0.0599439781568338,55.0,2024-08-03T13:00:34Z,,,yt_search
yA164RTA47Y,Un día miras al cielo y ves esto… #astronomia #espacio,GL,ciencia,Shorts,4367859,271782,3202,0.0629562446956277,59.0,2024-09-30T22:07:00Z,,"agujero negro en el cielo,agujero negro en la tierra,astronomía,ciencia,si el sol fuera un agujero negro",yt_search
